phi x z t
0 0 0 1.39714
0 0.114432 0 1.40219
0 0.122149 0 1.40308
0 0.131231 0 1.40435
0 0.142249 0 1.40524
0 0.154617 0 1.41049
0 0.174993 0 1.41109
0 0.196269 0 1.41222
0 0.219253 0 1.41781
0 0.250743 0 1.42078
0 0.255266 0 1.42305
0 0.26324 0 1.42374
0 0.272264 0 1.4247
0 0.282744 0 1.42687
0 0.29652 0 1.42791
0 0.311864 0 1.43392
0 0.336344 0 1.43467
0 0.361938 0 1.43678
0 0.36514 0 1.43856
0 0.371045 0 1.44695
0 0.389664 0 1.44747
0 0.409072 0 1.44873
0 0.430381 0 1.44956
0 0.452921 0 1.45135
0 0.478171 0 1.45438
0 0.482746 0 1.45684
0 0.491042 0 1.45763
0 0.500522 0 1.4592
0 0.512377 0 1.46153
0 0.527753 0 1.4625
0 0.544592 0 1.46449
0 0.564427 0 1.46701
0 0.588056 0 1.46811
0 0.613325 0 1.47465
0 0.623187 0 1.47522
0 0.633907 0 1.47992
0 0.651703 0 1.52103
0 0.73141 0 1.57689
0 0.815404 0 1.58721
0 0.830899 0 1.60486
0 0.872889 0 1.6097
0 0.880142 0 1.62116
0 0.904576 0 1.62433
0 0.93376 0 1.6382
0 0.95453 0 1.64203
0 0.981035 0 1.6588
0 1.00614 0 1.65973
0 1.00753 0 1.67067
0 1.02529 0 1.67612
0 1.0512 0 1.68719
0 1.06775 0 1.6915
0 1.09074 0 1.70376
0 1.13205 0 1.70919
0 1.14017 0 1.72139
0 1.1665 0 1.74357
0 1.19963 0 1.74528
0 1.20218 0 1.75384
0 1.21751 0 1.75749
0 1.23829 0 1.77079
0 1.2789 0 1.77939
0 1.29173 0 1.78735
0 1.31643 0 1.79027
0 1.34547 0 1.80534
0 1.36793 0 1.8064
0 1.39197 0 1.82066
0 1.43724 0 1.82438
0 1.44278 0 1.83723
0 1.46745 0 1.84029
0 1.49669 0 1.85517
0 1.51882 0 1.85627
0 1.54259 0 1.87053
0 1.58757 0 1.87399
0 1.59271 0 1.88721
0 1.61753 0 1.89042
0 1.6223 0 1.90387
0 1.64706 0 1.90661
0 1.6759 0 1.92132
0 1.69776 0 1.92402
0 1.72362 0 1.93806
0 1.74447 0 1.93955
0 1.76754 0 1.95371
0 1.81162 0 1.95704
0 1.81657 0 1.97036
0 1.84129 0 1.98716
0 1.89095 0 1.99068
0 1.89616 0 2.00376
0 1.92079 0 2.02057
0 1.97036 0 2.02395
0 1.97537 0 2.03709
0 1.99987 0 2.05389
0 2.04929 0 2.05724
0 2.05426 0 2.07047
0 2.07885 0 2.08756
0 2.12878 0 2.0912
0 2.13416 0 2.10383
0 2.15827 0 2.10657
0 2.18645 0 2.12186
0 2.2091 0 2.1232
0 2.23374 0 2.13711
0 2.27899 0 2.1413
0 2.28519 0 2.1539
0 2.31005 0 2.15893
0 2.3175 0 2.1705
0 2.34209 0 2.17413
0 2.37205 0 2.18849
0 2.39332 0 2.19124
0 2.41866 0 2.2048
0 2.43874 0 2.20733
0 2.46256 0 2.22049
0 2.50586 0 2.22494
0 2.51245 0 2.23718
0 2.53715 0 2.24132
0 2.54327 0 2.26497
0 2.5844 0 2.26672
0 2.58699 0 2.2704
0 2.59503 0 2.28726
0 2.62801 0 2.2921
0 2.63517 0 2.304
0 2.65994 0 2.30924
0 2.6677 0 2.32049
0 2.6921 0 2.32394
0 2.72161 0 2.33819
0 2.74268 0 2.34095
0 2.76784 0 2.35476
0 2.78827 0 2.35813
0 2.81368 0 2.37158
0 2.83358 0 2.37607
0 2.86011 0 2.38786
0 2.87754 0 2.39042
0 2.89877 0 2.40384
0 2.93985 0 2.40909
0 2.9476 0 2.4205
0 2.97223 0 2.43728
0 3.02167 0 2.45402
0 3.04642 0 2.47065
0 3.07099 0 2.48635
0 3.11879 0 2.50411
0 3.14503 0 2.52065
0 3.16949 0 2.53648
0 3.21733 0 2.5539
0 3.24309 0 2.56989
0 3.26671 0 2.5865
0 3.31489 0 2.60431
0 3.34121 0 2.62103
0 3.36591 0 2.63743
0 3.39014 0 2.65327
0 3.43779 0 2.67111
0 3.46415 0 2.70732
0 3.51764 0 2.72196
0 3.53928 0 2.73735
0 3.58366 0 2.75414
0 3.60845 0 2.77065
0 3.63285 0 2.78621
0 3.68023 0 2.80368
0 3.70603 0 2.82052
0 3.73091 0 2.83749
0 3.75598 0 2.85392
0 3.78024 0 2.87098
0 3.82972 0 2.88752
0 3.85415 0 2.903
0 3.90143 0 2.92075
0 3.92766 0 2.93699
0 3.95164 0 2.95286
0 3.99906 0 2.97094
0 4.02577 0 2.98706
0 4.04957 0 3.00301
0 4.09693 0 3.02078
0 4.12317 0 3.03792
0 4.14849 0 3.05453
0 4.17301 0 3.06955
0 4.21971 0 3.08736
0 4.24602 0 3.10339
0 4.26969 0 3.11968
0 4.31741 0 3.13726
0 4.34336 0 3.15386
0 4.36788 0 3.16955
0 4.41557 0 3.18711
0 4.44151 0 3.20389
0 4.46628 0 3.22076
0 4.49119 0 3.23742
0 4.51579 0 3.25297
0 4.56334 0 3.27065
0 4.58945 0 3.28703

